Type                                  Module                      Label             Process   
edm::SortedCollection<HORecHit,edm::StrictWeakOrdering<HORecHit> >    "reducedHcalRecHits"        "horeco"          "HLT"     
edm::TriggerResults                   "TriggerResults"            ""                "HLT"     
edm::ValueMap<bool>                   "PhotonIDProd"              "PhotonCutBasedIDLoose"   "HLT"     
edm::ValueMap<bool>                   "PhotonIDProd"              "PhotonCutBasedIDLooseEM"   "HLT"     
edm::ValueMap<bool>                   "PhotonIDProd"              "PhotonCutBasedIDTight"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidAllArbitrated"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidGMStaChiCompatibility"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidGMTkChiCompatibility"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidGMTkKinkTight"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidGlobalMuonPromptTight"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidTM2DCompatibilityLoose"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidTM2DCompatibilityTight"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationAngLoose"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationAngTight"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationLoose"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationOptimizedLowPtLoose"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationOptimizedLowPtTight"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationTight"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidTMOneStationAngLoose"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidTMOneStationAngTight"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidTMOneStationLoose"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidTMOneStationTight"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidTrackerMuonArbitrated"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFIsoValueCharged03"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFIsoValueCharged04"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFIsoValueChargedAll03"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFIsoValueChargedAll04"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFIsoValueGamma03"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFIsoValueGamma04"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFIsoValueNeutral03"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFIsoValueNeutral04"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFIsoValuePU03"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFIsoValuePU04"   "HLT"     
edm::ValueMap<edm::Ptr<reco::PFCandidate> >    "particleFlow"              "electrons"       "HLT"     
edm::ValueMap<edm::Ptr<reco::PFCandidate> >    "particleFlow"              "muons"           "HLT"     
edm::ValueMap<edm::Ptr<reco::PFCandidate> >    "particleFlow"              "photons"         "HLT"     
edm::ValueMap<float>                  "eidLoose"                  ""                "HLT"     
edm::ValueMap<float>                  "eidRobustHighEnergy"       ""                "HLT"     
edm::ValueMap<float>                  "eidRobustLoose"            ""                "HLT"     
edm::ValueMap<float>                  "eidRobustTight"            ""                "HLT"     
edm::ValueMap<float>                  "eidTight"                  ""                "HLT"     
edm::ValueMap<reco::CastorJetID>      "ak7CastorJetID"            ""                "HLT"     
edm::ValueMap<reco::DeDxData>         "dedxDiscrimASmi"           ""                "HLT"     
edm::ValueMap<reco::DeDxData>         "dedxHarmonic2"             ""                "HLT"     
edm::ValueMap<reco::IsoDeposit>       "muIsoDepositJets"          ""                "HLT"     
edm::ValueMap<reco::IsoDeposit>       "muIsoDepositTk"            ""                "HLT"     
edm::ValueMap<reco::IsoDeposit>       "muIsoDepositCalByAssociatorTowers"   "ecal"            "HLT"     
edm::ValueMap<reco::IsoDeposit>       "muons"                     "ecal"            "HLT"     
edm::ValueMap<reco::IsoDeposit>       "muIsoDepositCalByAssociatorTowers"   "hcal"            "HLT"     
edm::ValueMap<reco::IsoDeposit>       "muons"                     "hcal"            "HLT"     
edm::ValueMap<reco::IsoDeposit>       "muIsoDepositCalByAssociatorTowers"   "ho"              "HLT"     
edm::ValueMap<reco::IsoDeposit>       "muons"                     "ho"              "HLT"     
edm::ValueMap<reco::IsoDeposit>       "muons"                     "muIsoDepositJets"   "HLT"     
edm::ValueMap<reco::IsoDeposit>       "muons"                     "muIsoDepositTk"   "HLT"     
edm::ValueMap<reco::JetID>            "ak5JetID"                  ""                "HLT"     
edm::ValueMap<reco::JetID>            "ak7JetID"                  ""                "HLT"     
edm::ValueMap<reco::JetID>            "kt4JetID"                  ""                "HLT"     
edm::ValueMap<reco::JetID>            "kt6JetID"                  ""                "HLT"     
edm::ValueMap<reco::MuonCosmicCompatibility>    "muons"                     "cosmicsVeto"     "HLT"     
edm::ValueMap<reco::MuonMETCorrectionData>    "muonMETValueMapProducer"   "muCorrData"      "HLT"     
edm::ValueMap<reco::MuonMETCorrectionData>    "muonTCMETValueMapProducer"   "muCorrData"      "HLT"     
edm::ValueMap<reco::MuonShower>       "muons"                     "muonShowerInformation"   "HLT"     
edm::ValueMap<reco::MuonTimeExtra>    "muons"                     "combined"        "HLT"     
edm::ValueMap<reco::MuonTimeExtra>    "muons"                     "csc"             "HLT"     
edm::ValueMap<reco::MuonTimeExtra>    "muons"                     "dt"              "HLT"     
edm::ValueMap<unsigned int>           "muons"                     "cosmicsVeto"     "HLT"     
reco::BeamHaloSummary                 "BeamHaloSummary"           ""                "HLT"     
reco::BeamSpot                        "offlineBeamSpot"           ""                "HLT"     
reco::CaloTauDiscriminator            "caloRecoTauDiscriminationAgainstElectron"   ""                "HLT"     
reco::CaloTauDiscriminator            "caloRecoTauDiscriminationAgainstMuon"   ""                "HLT"     
reco::CaloTauDiscriminator            "caloRecoTauDiscriminationByECALIsolation"   ""                "HLT"     
reco::CaloTauDiscriminator            "caloRecoTauDiscriminationByIsolation"   ""                "HLT"     
reco::CaloTauDiscriminator            "caloRecoTauDiscriminationByLeadingTrackFinding"   ""                "HLT"     
reco::CaloTauDiscriminator            "caloRecoTauDiscriminationByLeadingTrackPtCut"   ""                "HLT"     
reco::CaloTauDiscriminator            "caloRecoTauDiscriminationByTrackIsolation"   ""                "HLT"     
reco::GlobalHaloData                  "GlobalHaloData"            ""                "HLT"     
reco::JetPiZeroAssociation            "ak5PFJetsRecoTauPiZeros"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByDecayModeFinding"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByLooseChargedIsolation"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByLooseCombinedIsolationDBSumPtCorr"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByLooseElectronRejection"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByLooseIsolation"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByLooseIsolationDBSumPtCorr"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByLooseMuonRejection"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMVAElectronRejection"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMediumChargedIsolation"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMediumCombinedIsolationDBSumPtCorr"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMediumElectronRejection"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMediumIsolation"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMediumIsolationDBSumPtCorr"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByMediumMuonRejection"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByRawChargedIsolationDBSumPtCorr"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByRawCombinedIsolationDBSumPtCorr"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByRawGammaIsolationDBSumPtCorr"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByTightChargedIsolation"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByTightCombinedIsolationDBSumPtCorr"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByTightElectronRejection"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByTightIsolation"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByTightIsolationDBSumPtCorr"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByTightMuonRejection"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByVLooseChargedIsolation"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByVLooseCombinedIsolationDBSumPtCorr"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByVLooseIsolation"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByVLooseIsolationDBSumPtCorr"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsTancTausDiscriminationByDecayModeSelection"   ""                "HLT"     
